match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T204939,RR Vs LSG,RR,TrentBoult,4,0,18,2,4.5,14,2,0,0,0
T204939,RR Vs LSG,RR,PrasidhKrishna,4,0,32,2,8,14,2,2,2,0
T204939,RR Vs LSG,RR,YuzvendraChahal,4,0,42,1,10.5,6,2,3,1,0
T204939,RR Vs LSG,RR,RavichandranAshwin,4,0,24,1,6,7,1,0,1,0
T204939,RR Vs LSG,RR,ObedMcCoy,4,0,35,2,8.75,7,2,1,4,0
T204140,CSK Vs GT,GT,MohammedShami,4,0,19,2,4.75,9,0,0,0,0
T204140,CSK Vs GT,GT,HardikPandya,2,0,8,0,4,5,0,0,0,1
T204140,CSK Vs GT,GT,YashDayal,3,0,27,0,9,6,2,1,3,0
T204140,CSK Vs GT,GT,RashidKhan,4,0,31,1,7.75,6,0,2,0,0
T204140,CSK Vs GT,GT,AlzarriJoseph,3,0,15,1,5,10,2,0,0,0
T204140,CSK Vs GT,GT,SaiKishore,4,0,31,1,7.75,8,3,1,1,0
T204140,CSK Vs GT,CSK,MukeshChoudhary,3,0,28,0,9.33,5,5,0,0,0
T204140,CSK Vs GT,CSK,SimarjeetSingh,3,0,26,0,8.66,8,3,1,1,0
T204140,CSK Vs GT,CSK,MitchellSantner,4,0,24,0,6,11,3,0,0,0
T204140,CSK Vs GT,CSK,PrashantSolanki,4,0,18,0,4.5,6,0,0,0,0
T204140,CSK Vs GT,CSK,MatheeshaPathirana,3.1,0,24,2,7.57,8,3,0,3,0
T204140,CSK Vs GT,CSK,MoeenAli,2,0,11,1,5.5,4,1,0,0,0
T209676,KKR Vs SRH,SRH,BhuvneshwarKumar,4,0,27,1,6.75,13,3,0,5,0
T209676,KKR Vs SRH,SRH,MarcoJansen,4,0,30,1,7.5,11,0,3,0,0
T209676,KKR Vs SRH,SRH,TNatarajan,4,0,43,1,10.75,7,1,4,1,0
T209676,KKR Vs SRH,SRH,WashingtonSundar,4,0,40,0,10,8,1,4,0,0
T209676,KKR Vs SRH,SRH,UmranMalik,4,0,33,3,8.25,10,5,0,2,0
T209676,KKR Vs SRH,KKR,UmeshYadav,4,0,19,1,4.75,13,1,1,0,0
T209676,KKR Vs SRH,KKR,TimSouthee,4,0,23,2,5.75,9,2,0,0,0
T209676,KKR Vs SRH,KKR,SunilNarine,4,0,34,1,8.5,6,1,2,0,0
T209676,KKR Vs SRH,KKR,AndreRussell,4,0,22,3,5.5,14,3,0,2,0
T209676,KKR Vs SRH,KKR,VarunChakravarthy,4,0,25,1,6.25,13,1,2,1,0
T203332,PK Vs RCB,RCB,GlennMaxwell,2,0,17,1,8.5,6,0,2,0,0
T203332,PK Vs RCB,RCB,JoshHazlewood,4,0,64,0,16,5,7,4,2,0
T203332,PK Vs RCB,RCB,MohammedSiraj,2,0,36,0,18,3,2,4,0,1
T203332,PK Vs RCB,RCB,WaninduHasaranga,4,0,15,2,3.75,12,1,0,0,0
T203332,PK Vs RCB,RCB,ShahbazAhmed,4,0,40,1,10,5,3,2,0,0
T203332,PK Vs RCB,RCB,HarshalPatel,4,0,34,4,8.5,10,3,2,1,0
