team1,team2,winner,margin,won_by,year,match_id
KKR,RR,RR,9,wicket,2023,T205338
CSK,DC,CSK,27,run,2023,T209224
RCB,MI,MI,6,wicket,2023,T205430
PK,KKR,KKR,5,wicket,2023,T201181
RR,SRH,SRH,4,wicket,2023,T201576
GT,LSG,GT,56,run,2023,T201503
RCB,DC,DC,7,wicket,2023,T208517
MI,CSK,CSK,6,wicket,2023,T204004
RR,GT,GT,9,wicket,2023,T206195
KKR,SRH,KKR,5,run,2023,T208611
PK,MI,MI,6,wicket,2023,T205138
DC,GT,DC,5,run,2023,T203464
RCB,LSG,RCB,18,run,2023,T203494
RR,MI,MI,6,wicket,2023,T204100
CSK,PK,PK,4,wicket,2023,T204443
SRH,DC,SRH,9,run,2023,T207344
KKR,GT,GT,7,wicket,2023,T201505
LSG,PK,LSG,56,run,2023,T204958
RR,CSK,RR,32,run,2023,T204283
KKR,RCB,KKR,21,run,2023,T202291
GT,MI,GT,55,run,2023,T208781
DC,SRH,DC,7,run,2023,T206316
CSK,KKR,CSK,49,run,2023,T207135
RCB,RR,RCB,7,run,2023,T205220
PK,MI,PK,13,run,2023,T204462
GT,LSG,GT,7,run,2023,T208595
SRH,CSK,CSK,7,wicket,2023,T208568
KKR,DC,DC,4,wicket,2023,T206506
RCB,PK,RCB,24,run,2023,T209410
LSG,RR,LSG,10,run,2023,T205539
MI,SRH,MI,14,run,2023,T203831
CSK,RCB,CSK,8,run,2023,T206232
GT,RR,RR,3,wicket,2023,T204210
KKR,MI,MI,5,wicket,2023,T202897
LSG,PK,PK,2,wicket,2023,T203424
RCB,DC,RCB,23,run,2023,T208157
SRH,KKR,SRH,23,run,2023,T209839
PK,GT,GT,6,wicket,2023,T206541
RR,CSK,RR,3,run,2023,T201215
DC,MI,MI,6,wicket,2023,T207664
RCB,LSG,LSG,1,wicket,2023,T202162
PK,SRH,SRH,8,wicket,2023,T206444
GT,KKR,KKR,3,wicket,2023,T208626
MI,CSK,CSK,7,wicket,2023,T206408
RR,DC,RR,57,run,2023,T207547
SRH,LSG,LSG,5,wicket,2023,T209590
KKR,RCB,KKR,81,run,2023,T207668
PK,RR,PK,5,run,2023,T201031
DC,GT,GT,6,wicket,2023,T205026
CSK,LSG,CSK,12,run,2023,T202790
MI,RCB,RCB,8,wicket,2023,T202485
RR,SRH,RR,72,run,2023,T209117
LSG,DC,LSG,50,run,2023,T208512
PK,KKR,PK,7,run,2023,T202853
CSK,GT,GT,5,wicket,2023,T201566
